Роль;Название роли
ZGBI003_2D00_APLN;Администратор бюджетного процесса (ТГК)
ZGBI011_2D00_FPLN_ASKO;Формирующий АСКО (ТГК)
ZGBI014_2D00_FIREP;Аналитик БНУ. Отчеты (ТГК)
ZGBI015_2D00_LDADM_ASKO;Администратор загрузки данных АСКО (ТГК)
ZGBI024_2D00_FMREP;Аналитик УФ. Отчеты (ТГК)
ZGBI034_2D00_COREP;Аналитик УУ. Отчеты (ТГК)
ZGBI041_2D00_FPLN;Формирующий Бюджетирование (ТГК)
ZGBI041_2D00_FPLN;Формирующий Бюджетирование (ТГК)
ZGBI042_2D00_SPLN;Согласующий Бюджетирование (ТГК)
ZGBI042_2D00_SPLN;Согласующий Бюджетирование (ТГК)
ZGBI044_2D00_REP;Аналитик Бюджетирование. Отчеты (ТГК)
ZGBI045_2D00_LDADM;Администратор загрузки данных (ТГК)
ZGBI045_2D00_LDADM;Администратор загрузки данных
ZGBI054_2D00_MMREP;Аналитик УСМТР. Отчеты (ТГК)
ZGBI064_2D00_PSREP;Аналитик УИ. Отчеты (ТГК)
ZGBI074_2D00_PMREP;Аналитик ТОиР. Отчеты (ТГК)
ZGBI081_2D00_FPLN_ESD;Формирующий ЭСД (ТГК)
ZGBI081_2D00_FPLN_TRF;Формирующий Тарифообразование (ТГК)
ZGBI082_2D00_SPLN_ESD;Согласующий ЭСД (ТГК)
ZGBI082_2D00_SPLN_TRF;Согласующий Тарифообразование (ТГК)
ZGBI084_2D00_REP_ESD;Аналитик ЭСД. Отчеты (ТГК)
ZGBI084_2D00_REP_TRF;Аналитик Тарифообразование. Отчеты (ТГК)
ZGBI084_2D00_SDREP;Аналитик УМиС. Отчеты (ТГК)
ZGBI085_2D00_LDADM;Администратор загрузки данных УМИС (ТГК)
ZGBW04_2D00:FPLN;Формирующий Бюджетирование ТГК-1
ZGBW04_2D00:FPLN;Формирующий бюджетирование ТГК-1
ZGNS10X_2D00_ALL_MASTERDATA;Специалист НСИ И УС П ГК для ПАО «ТГК-1»
