Мандант;Роль;ИмяПользоват;Начальная дата;Конечная дата;Исключая;Дата;Время;Метка UTC-времени в краткой форме (ГГГГМ;Присвоение из орг. менеджмента HR;Присвоение из групповой роли
400;ZGBI003_2D00_APLN;XDOAEI01;25.12.2017;31.12.9999;;27.12.2017;18:48:09;0;;
400;ZGBI003_2D00_APLN;XDOBTA03;30.05.2018;31.12.9999;;30.05.2018;15:33:12;0;;
400;ZGBI003_2D00_APLN;XDODTV03;25.12.2017;31.12.9999;;27.12.2017;18:48:19;0;;
400;ZGBI003_2D00_APLN;XDOGIV06;03.04.2018;31.12.9999;;03.04.2018;16:23:10;0;;
400;ZGBI003_2D00_APLN;XDOGNG03;25.12.2017;31.12.9999;;27.12.2017;18:48:22;0;;
400;ZGBI003_2D00_APLN;XDOGSE;03.04.2018;31.12.9999;;03.04.2018;16:18:08;0;;
400;ZGBI003_2D00_APLN;XDOKIY;25.12.2017;31.12.9999;;27.12.2017;18:48:26;0;;
400;ZGBI003_2D00_APLN;XDOKMM01;25.12.2017;31.12.9999;;27.12.2017;18:48:30;0;;
400;ZGBI003_2D00_APLN;XDOKNA18;25.12.2017;31.12.9999;;27.12.2017;18:48:33;0;;
400;ZGBI003_2D00_APLN;XDOKVV36;25.12.2017;31.12.9999;;11.04.2018;13:58:00;0;;
400;ZGBI003_2D00_APLN;XDOMIF;25.12.2017;31.12.9999;;27.12.2017;18:48:41;0;;
400;ZGBI003_2D00_APLN;XDOMIG;25.12.2017;31.12.9999;;27.12.2017;18:48:44;0;;
400;ZGBI003_2D00_APLN;XDOPIP;25.12.2017;31.12.9999;;27.12.2017;18:48:51;0;;
400;ZGBI003_2D00_APLN;XDOPSV06;25.12.2017;31.12.9999;;27.12.2017;18:48:53;0;;
400;ZGBI003_2D00_APLN;XDOSDS07;25.12.2017;31.12.9999;;27.12.2017;18:48:59;0;;
400;ZGBI003_2D00_APLN;XDOSNE;25.12.2017;31.12.9999;;27.12.2017;18:49:09;0;;
400;ZGBI003_2D00_APLN;XDOSSI02;25.12.2017;31.12.9999;;27.12.2017;18:49:12;0;;
400;ZGBI003_2D00_APLN;XDOVNV13;25.12.2017;31.12.9999;;27.12.2017;18:49:21;0;;
400;ZGBI003_2D00_APLN;XDOZID;25.12.2017;31.12.9999;;27.12.2017;18:49:24;0;;
