Роль;Название роли
ZGBI02X_2D00_AGCBL;Ответственный за утверждение ЗнКЛ БДДС
ZGBI02X_2D00_CRCBL;Ответственный за создание ЗнКЛ БДДС
ZGCM01X_2D00_DISPLAY;Специалист по анализу договорных документов
ZGCM01X_2D00_KURATOR;Куратор договора
ZGCM01X_2D00_OREM_MANAGER;Куратор договоров ОРЭМ
ZGCM03X_2D00_PIR_MGR;Менеджер по ПИР
ZGCM04X_2D00_RETRS;Ответственный за возврат зарезервированных средств
ZGCM04X_2D00_UR_MANAGER;Сотрудник ЮУ
ZGCO03X_2D00_CALCFACT;Специалист ИА/ГД по УУ (фактический учет) для ОАО «ТГК-1»
ZGCO03X_2D00_CALCPLAN;Специалист ИА/ГД по УУ (планирование) для ОАО «ТГК-1»
ZGCO03X_2D00_MASTERDATA;Групповая роль Специалист по ведению основных данных
ZGCO03X_2D00_REPORT;Специалист по УУ (отчеты) для ОАО «ТГК-1»
ZGCO03X_2D00_UU;Специалист филиала по УУ для ОАО «ТГК-1»
ZGFI02X_2D00_FA_CLOSING;"Бухгалтер по закрытию участка ОС в ПАО ""ТГК-1"""
ZGFI02X_2D00_FA_INVREPORTS;"Бухгалтер Инвентаризационная отчетность ОС ПАО ""ТГК-1"""
ZGFI02X_2D00_FA_J3RREPORTS;"Бухгалтер Первичная отчетность ОС ПАО ""ТГК-1"""
ZGFI02X_2D00_FA_MAIN;"Бухгалтер по ведению ОС ПАО ""ТГК-1"""
ZGFI02X_2D00_FA_REPORTS;"Бухгалтер Общая отчетность ОС ПАО ""ТГК-1"""
ZGFI02X_2D00_FA_VIEW;"Специалист по просмотру ОЗ ОС ПАО ""ТГК-1"""
ZGFI03X_2D00_AP_CLOSING;"Бухгалтер по закрытию участка кредиторов в ПАО ""ТГК-1"""
ZGFI03X_2D00_AP_MAIN;"Бухгалтер по расчетам с кредиторами в ПАО ""ТГК-1"""
ZGFI03X_2D00_AP_REPORTS;"Бухгалтер по расчетам с кредиторами Отчетность ПАО ""ТГК-1"""
ZGFI03X_2D00_AP_UPLOADZP;"Бухгалтер по расчетам с персоналом по ЗП в ПАО ""ТГК-1"""
ZGFI04X_2D00_AR_CLOSING;"Бухгалтер по закрытию участка дебиторов в ПАО ""ТГК-1"""
ZGFI04X_2D00_AR_MAIN;"Бухгалтер по расчетам с дебиторами в ПАО ""ТГК-1"""
ZGFI04X_2D00_AR_REPORTS;"Бухгалтер по расчетам с дебиторами Отчетность ПАО "" ТГК-1"""
ZGFI04X_2D00_AR_TSB;"Специалист по загрузке данных ""Теплосбыта"" в ПАО ""ТГК-1"""
ZGFI05X_2D00_GL_CLOSING;"Бухгалтер по закрытию участка по Главной Книге ПАО ""ТГК-1"""
ZGFI05X_2D00_GL_CORRESP;"Бухгалтер Операции по корреспонденции счетов ПАО ""ТГК-1"""
ZGFI05X_2D00_GL_LEDGER;"Бухгалтер Проводка с указанием регистра ПАО ""ТГК-1"""
ZGFI05X_2D00_GL_MAIN;"Бухгалтер по ведению операций по счетам  Главной Книги ПАО ""ТГК-1"""
ZGFI05X_2D00_GL_PERIODCHANGE;"Бухгалтер Закрытие периодов проводки по счетам в ПАО ""ТГК-1"""
ZGFI05X_2D00_GL_REPORTS;"Бухгалтер Отчетность по Главной Книге ПАО ""ТГК-1"""
ZGFI06X_2D00_TAX_FA;"Бухгалтер по имущественным налогам ПАО ""ТГК-1"""
ZGFI06X_2D00_TAX_PROCHIE;"Бухгалтер по учету прочих налогов ПАО ""ТГК-1"""
ZGFI06X_2D00_TAX_PROFIT;"Бухгалтер по учету налога на прибыль ПАО ""ТГК-1"""
ZGFI06X_2D00_TAX_PROFITREPORT;"Бухгалтер по учету налога на прибыль Отчетность ПАО ""ТГК-1"""
ZGFI06X_2D00_TAX_VAT;"Бухгалтер по учету НДС в ПАО ""ТГК-1"""
ZGFI10X_2D00_CASH;"Бухалтер по кассовым операциям в ПАО ""ТГК-1"""
ZGFM01X_2D00_CRAVZ;Ответственный за создание авизо
ZGFM01X_2D00_RPLQD;Специалист по ведению платежного календаря
ZGFM01_2200:CRAVZ_DLM;Создание карточки авизо в отчете DLM (2200)
ZGFM01_2200:VWDLM;Ведение отчета DLM (daily liquidity management) БЕ 2200
ZGFM01_2D00_CRAVZ;Создание карточки авизо
ZGFM01_2D00_RPLQD;Платежный календарь
ZGFM01_2D00_TR-OTC;Операции денежного рынка
ZGFM01_2D00_TR-SEC;Ценные бумаги
ZGFM01_2D00_TR-WTC;Роль для просмотра Отчетов и фин сделок.
ZGFM01_2D00_VWAVZ;Просмотр/реестр карточки авизо
ZGFM01_2G00:CRAVZ_DLM;Создание карточки авизо в отчете DLM (2G00)
ZGFM01_2G00:VWDLM;Ведение отчета DLM (daily liquidity management) БЕ 2G00
ZGFM02X_2D00_TR-ACC;Бухгалтер по учету финансовых операций
ZGFM02X_2D00_TR-OTC;Ответственный за операции денежного рынка
ZGFM02X_2D00_TR-WTC;Ответственный за анализ финансовых сделок
ZGFM04X_2D00_CRREQ;Ответственный за создание ЗНО
ZGFM04X_2D00_LDREQ;Ответственный за загрузку ЗНО
ZGFM04X_2D00_VWREQ;Специалист по анализу ЗНО
ZGFM05X_2D00_APP;Сотрудник казначейства
ZGFM05X_2D00_RPSLD;Ответственный за анализ остатков по р/с
ZGFM06X_2D00_CRKBV;Ответственный за обработку БВ
ZGFM06X_2D00_DLKBV;Ответственный за ввод/загрузку БВ
ZGFM06X_2D00_VWKBV;Ответственный за анализ платежей по выписке
ZGFM07X_2D00_CRCOD;Специалист по ведению взаимозачетов
ZGFM07X_2D00_VWCOD;Специалист по анализу взаимозачетов
ZGFM08X_2D00_TR-SEC;Ответственный за операции с ценными бумагами
ZGFM09X_2D00_RPDPN;Ответственный за формирование отчета БДДС
ZGFM09X_2D00_RPFDC;Ответственный за анализ оперативной ДЗ
ZGFM09X_2D00_RPOBP;Отчет об обеспечении обязательств и платежей полученных
ZGFM09X_2D00_RPRDS;Отчет по размещению временно свободных денежных средств
ZGIM01X_2D00_EXPERT_IO;"Эксперт ИО ПАО ""ТГК-1"""
ZGIM01X_2D00_INV_AGREE;"Согласующий инвестиции ПАО ""ТГК-1"""
ZGIM01X_2D00_INV_AUDITOR;"Аудитор инвестиций ПАО ""ТГК-1"""
ZGIM01X_2D00_INV_INITIATOR;"Инициатор инвестиций ПАО ""ТГК-1"""
ZGIM01X_2D00_INV_INITIATOR;Инициатор инвестиций
ZGIM01X_2D00_INV_KURATOR;"Куратор инвестиционной программы  ПАО ""ТГК-1"""
ZGIM01X_2D00_TECH_EXPERT;Групповая роль Технический эксперт
ZGIM02X_2D00_PROJ_KURATOR;"Куратор проекта ПАО ""ТГК-1"""
ZGIM03X_2D00_PROJ_MANAGER;"Куратор (менеджер проекта) ПАО ""ТГК-1"""
ZGIM03X_2D00_PS_ACCOUNT_MSFO;"Бухгалтер по учету КВ (МСФО) ПАО ""ТГК-1"""
ZGIM03X_2D00_PS_ACCOUNT_NU;"Бухгалтер по учету КВ (НУ) ПАО ""ТГК-1"""
ZGIM03X_2D00_PS_ACCOUNT_PSBU;"Бухгалтер по учету КВ (филиал, РСБУ) ПАО ""ТГК-1"""
ZGIM03X_2D00_PS_ACNT_PSBU_IA;"Бухгалтер по учету КВ (ИА, РСБУ) ПАО ""ТГК-1"""
ZGMM101_2D00_CR_PLANIR_PPM;Групп. роль_Специалист отдела ресурсов_ТГК
