Наименование;Код роли
Администратор базиса;Y-ADM_BASIS
Администратор бюджетного процесса ТГК-1 ;ZGBI003_2D00_APLN
Администратор загрузки данных;ZGBI045_2D00_LDADM
Администратор загрузки данных АСКО;ZGBI015_2D00_LDADM_ASKO 
Администратор загрузки данных УМИС;ZGBI085_2D00_LDADM
Администратор по поддержке интеграции (Инфраструктура обмена/Интеграция процессов SAP XI/PI);ZPIG_SUPPORT
Администратор ролей и полномочий (продуктив);Y-ADM_ROLE
Аналитик БНУ. Отчеты ТГК-1 ;ZGBI014_2D00_FIREP
Аналитик Бюджетирование. Отчеты ТГК-1 ;ZGBI044_2D00_REP
Аналитик Тарифообразование. Отчеты ТГК-1 ;ZGBI084_2D00_REP_TRF
Аналитик ТОиР. Отчеты ТГК-1 ;ZGBI074_2D00_PMREP
Аналитик УИ. Отчеты ТГК-1 ;ZGBI064_2D00_PSREP
Аналитик УМиС. Отчеты ТГК-1 ;ZGBI084_2D00_SDREP
Аналитик УСМТР. Отчеты ТГК-1 ;ZGBI054_2D00_MMREP
Аналитик УУ. Отчеты ТГК-1 ;ZGBI034_2D00_COREP
Аналитик УФ. Отчеты ТГК-1 ;ZGBI024_2D00_FMREP
Аналитик ЭСД. Отчеты ТГК-1 ;ZGBI084_2D00_REP_ESD
Аналитик. Бюджетирование. ЦО D10001;ZUBI000_BRD10001
Аналитик. Бюджетирование. ЦО D10002;ZUBI000_BRD10002
Аналитик. Бюджетирование. ЦО D10003;ZUBI000_BRD10003
Аналитик. Бюджетирование. ЦО D10004;ZUBI000_BRD10004
Аналитик. Бюджетирование. ЦО D10005;ZUBI000_BRD10005
Аналитик. Бюджетирование. ЦО D10006;ZUBI000_BRD10006
Аналитик. Бюджетирование. ЦО D10007;ZUBI000_BRD10007
Аналитик. Бюджетирование. ЦО D10008;ZUBI000_BRD10008
Аналитик. Бюджетирование. ЦО D10009;ZUBI000_BRD10009
Аналитик. Бюджетирование. ЦО D10010;ZUBI000_BRD10010
Аналитик. Бюджетирование. ЦО D10011;ZUBI000_BRD10011
Аналитик. Бюджетирование. ЦО D10012;ZUBI000_BRD10012
Аналитик. Бюджетирование. ЦО D10013;ZUBI000_BRD10013
Аналитик. Бюджетирование. ЦО D10014;ZUBI000_BRD10014
Аналитик. Бюджетирование. ЦО D10015;ZUBI000_BRD10015
Аналитик. Бюджетирование. ЦО D10016;ZUBI000_BRD10016
Аналитик. Бюджетирование. ЦО D10017;ZUBI000_BRD10017
Аналитик. Бюджетирование. ЦО D10018;ZUBI000_BRD10018
Аналитик. Бюджетирование. ЦО D10019;ZUBI000_BRD10019
Аналитик. Бюджетирование. ЦО D10020;ZUBI000_BRD10020
Аналитик. Бюджетирование. ЦО D10021;ZUBI000_BRD10021
Аналитик. Бюджетирование. ЦО D10022;ZUBI000_BRD10022
Аналитик. Бюджетирование. ЦО D10023;ZUBI000_BRD10023
Аналитик. Бюджетирование. ЦО D10024;ZUBI000_BRD10024
Аналитик. Бюджетирование. ЦО D20002;ZUBI000_BRD20002
Аналитик. Бюджетирование. ЦО D20004;ZUBI000_BRD20004
Аналитик. Бюджетирование. ЦО D20005;ZUBI000_BRD20005
Аналитик. Бюджетирование. ЦО D20006;ZUBI000_BRD20006
Аналитик. Бюджетирование. ЦО D20007;ZUBI000_BRD20007
Аналитик. Бюджетирование. ЦО D20008;ZUBI000_BRD20008
Аналитик. Бюджетирование. ЦО D20009;ZUBI000_BRD20009
Аналитик. Бюджетирование. ЦО D20010;ZUBI000_BRD20010
Аналитик. Бюджетирование. ЦО D20011;ZUBI000_BRD20011
Аналитик. Бюджетирование. ЦО D20012;ZUBI000_BRD20012
Аналитик. Бюджетирование. ЦО D20013;ZUBI000_BRD20013
Аналитик. Бюджетирование. ЦО D20014;ZUBI000_BRD20014
Аналитик. Бюджетирование. ЦО D20015;ZUBI000_BRD20015
Аналитик. Бюджетирование. ЦО D20016;ZUBI000_BRD20016
Аналитик. Бюджетирование. ЦО D20017;ZUBI000_BRD20017
Аналитик. Бюджетирование. ЦО D20018;ZUBI000_BRD20018
Аналитик. Бюджетирование. ЦО D20019;ZUBI000_BRD20019
Аналитик. Бюджетирование. ЦО D20020;ZUBI000_BRD20020
Аналитик. Бюджетирование. ЦО D20021;ZUBI000_BRD20021
Аналитик. Бюджетирование. ЦО D20022;ZUBI000_BRD20022
Аналитик. Бюджетирование. ЦО D20023;ZUBI000_BRD20023
Аналитик. Бюджетирование. ЦО D20024;ZUBI000_BRD20024
Аналитик. Бюджетирование. ЦО D20202;ZUBI000_BRD20202
Аналитик. Бюджетирование. ЦО D20204;ZUBI000_BRD20204
Аналитик. Бюджетирование. ЦО D20205;ZUBI000_BRD20205
Аналитик. Бюджетирование. ЦО D20206;ZUBI000_BRD20206
Аналитик. Бюджетирование. ЦО D20207;ZUBI000_BRD20207
