отл;то
D10001;1.01.08.03
D10001;1.01.08.05.06
D10001;1.01.08.07
D10001;2.01.01.08.05.05
D10001;2.01.08.07
D10001;2.01.09
D10001;2.01.21
D10001;2.01.24.07
D10001;2.02.01.01
D10001;2.02.01.02
D10001;2.02.01.04.03
D10002;1.01.08.01.02
D10002;1.01.08.03
D10002;1.01.08.05.06
D10002;1.02.01.01.01
D10002;2.01.02.05.07
D10002;2.01.08.05
D10002;2.01.08.06
D10002;2.01.08.07
D10002;2.01.08.09
D10002;2.01.12.04
D10002;2.01.17
D10002;2.01.21
D10002;2.01.22.02.01
D10002;2.01.22.02.02
D10002;2.01.24.06
D10002;2.01.24.07
D10002;2.02.01.04.03
D10002;2.02.01.04.06
D10003;1.01.08.03
D10003;1.01.08.05.06
D10003;2.01.08.07
D10003;2.01.08.12
D10003;2.01.08.14.02
D10003;2.01.17
D10003;2.01.21
D10003;2.01.24.07
D10003;2.02.01.04.03
D10004;1.01.08.01.01
D10004;1.01.08.03
D10004;1.01.08.05.06
D10004;1.02.01.01.01
D10004;2.01.01.08.01
D10004;2.01.01.08.04
D10004;2.01.01.08.05.04
D10004;2.01.01.08.05.05
D10004;2.01.02.01
D10004;2.01.02.02.01
D10004;2.01.02.05.07
D10004;2.01.08.02
D10004;2.01.08.07
D10004;2.01.08.13
D10004;2.01.08.14.02
D10004;2.01.08.14.03
D10004;2.01.08.14.06
D10004;2.01.09
D10004;2.01.15
D10004;2.01.17
D10004;2.01.21
D10004;2.01.22.02.01
D10004;2.01.22.02.02
D10004;2.01.24.06
D10004;2.01.24.07
D10004;2.01.25
D10004;2.02.01.01
D10004;2.02.01.02
D10004;2.02.01.04.03
D10004;2.02.01.04.06
D10005;1.01.08.03
D10005;1.01.08.05.06
D10005;2.01.01.08.04
D10005;2.01.01.08.05.05
D10005;2.01.08.07
D10005;2.01.08.14.06
D10005;2.01.15
D10005;2.01.21
D10005;2.01.24.07
D10005;2.02.01.04.03
D10006;1.01.06.02
D10006;1.01.08.03
D10006;1.01.08.05.06
D10006;2.01.01.08.04
D10006;2.01.02.01
D10006;2.01.08.07
D10006;2.01.21
D10006;2.01.24.07
D10006;2.02.01.01
D10006;2.02.01.02
D10006;2.02.01.04.03
D10007;2.01.02.05.04
D10007;2.02.01.04.03
D10008;1.01.04.01
D10008;1.01.04.02
D10008;1.01.06.12
D10008;1.01.08.03
D10008;1.01.08.05.06
D10008;2.01.02.05.06
D10008;2.01.02.05.07
D10008;2.01.08.07
D10008;2.01.08.14.06
D10008;2.01.24.07
D10008;2.02.01.04.03
D10008;2.02.01.04.06
D10010;1.01.02.01
D10010;1.01.02.02
D10010;1.01.02.03.01
D10010;1.01.02.03.02
D10010;1.01.02.04
