код счета ;Вид затрат
105010;3101010000
105030;3101020000
105020;3101030000
105040;3101050000
112010;3101050000
112020;3101050000
112030;3101050000
160110;T000000059
160120;T000000061
160130;T000000063
160140;3103010000
160150;3103020000
160180;3103030000
160170;3103040000
151010;T000000066
151030;T000000066
152000;3104010000
160500;3104010000
160190;3104030000
114010;3105010000
114020;3105010000
114011;3105010000
112041;3116010000
115010;3101010100
115020;3101010100
115500;3101010100
155510;3101010100
115010;3101030100
115020;3101030100
115500;3101030100
155510;3101030100
115010;3101040100
115020;3101040100
115500;3101040100
155510;3101040100
115010;3106010100
115020;3106010100
115500;3106010100
155510;3106010100
115010;3106020100
115020;3106020100
115500;3106020100
155510;3106020100
115010;3107010100
115020;3107010100
115500;3107010100
155510;3107010100
115010;3107020100
115020;3107020100
115500;3107020100
155510;3107020100
115010;3107030100
115020;3107030100
115500;3107030100
155510;3107030100
115010;3107040100
115020;3107040100
115500;3107040100
155510;3107040100
115010;3108010100
115020;3108010100
115500;3108010100
155510;3108010100
115010;3108020100
115020;3108020100
115500;3108020100
155510;3108020100
115010;3108030100
115020;3108030100
115500;3108030100
155510;3108030100
115010;3109010100
115020;3109010100
115500;3109010100
155510;3109010100
115010;3110010100
115020;3110010100
115500;3110010100
155510;3110010100
115010;3111010100
115020;3111010100
115500;3111010100
155510;3111010100
115010;3111020100
115020;3111020100
115500;3111020100
155510;3111020100
115010;3112010100
115020;3112010100
115500;3112010100
155510;3112010100
115010;3113010100
115020;3113010100
115500;3113010100
155510;3113010100
115010;3114010100
115020;3114010100
115500;3114010100
155510;3114010100
115010;3115010100
115020;3115010100
115500;3115010100
155510;3115010100
115010;3115020100
115020;3115020100
115500;3115020100
155510;3115020100
115520;3116010100
115010;3117010100
115020;3117010100
115500;3117010100
155510;3117010100
115010;3118010100
115020;3118010100
115500;3118010100
155510;3118010100
115010;3120010100
115020;3120010100
115500;3120010100
155510;3120010100
110010;3106020000
110011;3106020000
111040;3106020000
110020;3106020000
111130;3109010000
111030;3110010000
111010;3111010000
111020;3111020000
502120;3113010000
502121;3113010000
502110;3113010000
111110;3114010000
111050;3115010000
111070;3115010000
111140;3115010000
111150;3115010000
111160;3115010000
111170;3115010000
111060;3115020000
502130;3119010000
111120;3120010000
111090;3120010000
111000;3120010000
111500;3120010000
111080;3120010000
111100;3120010000
133100;3501010000
133200;3501010000
130090;3502020000
130091;3502020000
130030;3502040000
531010;3502040000
130110;3502040000
130140;3502040000
531060;3502040000
130020;3502050000
130010;3502010000
130050;3503020000
130120;3503020000
130130;3503020000
530160;3503060000
534010;3503040000
534020;3503040000
534030;3503040000
534040;3503040000
534050;3503040000
130070;3503010000
130100;3503010000
130040;3503010000
130080;3503010000
130135;3503500000
130136;3503500000
130137;3503500000
520060;3505020000
137100;3505010000
137200;3505010000
137300;3505010000
509200;3506010000
509110;3506020000
509120;3506030000
509140;3506040000
509100;3506500000
210000;3201010000
220000;3201010000
260000;3201020000
261000;3201020000
281200;3201020000
281060;3201020000
250000;3201030000
230000;3201040000
232000;3201040000
233000;3201040000
234000;3201040000
235000;3201040000
240000;3201040000
231000;3201060000
222000;3201080000
221000;3201080000
281000;3201080000
281040;3201080000
281050;3201080000
280450;3201080000
280200;3201080000
280000;3201080000
280650;3201080000
283500;3201080000
283600;3201080000
280100;3201080000
270000;3201090000
280350;3201090000
280550;3201090000
280600;3201090000
280700;3201090000
280750;3201090000
280800;3201090000
280900;3201090000
280250;3201090000
282200;3201090000
283100;3201090000
283000;3201090000
283300;3201090000
283900;3201090000
286010;3201120000
286020;3201120000
262000;3201140000
283400;3201160000
311000;3301010000
314000;3301020000
313000;3301030000
312010;3301040000
315000;3301060000
312300;3301070000
312400;3301070000
387000;3303010000
388000;3303010000
506000;3520000000
420000;3401010000
420000;3401011000
430000;3401020000
410000;3401030000
450000;3401040000
460000;3401050000
469000;3401700000
470000;3402010000
535000;3403000000
520010;3510010000
520020;3510020000
520050;3510030000
520040;3510040000
520030;3510050000
510010;3511010000
510020;3511020000
511070;3511030000
510030;3511040000
510040;3511040000
530120;3528090000
114030;3503030000
114031;3503030000
114032;3503030000
530110;3512010000
532040;3512020000
532030;3512020000
532020;3512020000
532010;3512020000
503030;3519010000
503020;3519020000
503040;3519050000
511050;3513020000
511060;3513030000
511010;3513030000
511020;3513030000
511030;3513030000
511040;3513030000
512010;3513030000
512020;3513030000
511080;3513030000
523000;3514030000
522010;3514040000
522020;3514040000
522021;3514040000
524010;3514020000
524020;3514020000
524030;3514020000
524040;3514020000
524050;3514020000
524060;3514020000
517010;3514050000
517020;3514050000
517030;3514050000
517040;3514050000
517050;3514050000
513020;3515010000
514010;3515020000
514020;3515020000
513010;3515030000
513010;3515040000
513010;3515050000
518010;3516010000
518010;3516020000
518020;3516030000
505010;3523000000
505020;3523000000
526000;3528020000
526000;3528030000
502300;3522000000
502200;3522030000
530180;3528060000
512030;3528060000
509150;3528080000
509130;3528080000
530140;3528080000
501110;3517010000
501120;3517020000
501130;3517020000
501120;3517030000
501130;3517030000
501140;3517040000
501140;3517050000
501150;3517060000
501210;3517060000
501220;3517060000
501240;3517060000
501250;3517060000
521000;3518000000
515020;3507010000
515030;3507010000
515040;3507030000
515010;3527020000
516180;3509020000
516130;3509030000
516120;3509040000
516140;3509050000
516160;3509050000
516110;3509050000
516200;3509060000
516210;3509070000
516190;3509080000
516510;3509090000
516520;3509100000
516220;3509500000
516170;3509500000
114510;3526030000
114520;3527010000
114521;3527010000
504020;3526040000
504030;3526020000
504040;3526010000
504010;3527030000
504011;3527030000
533010;3526060000
533020;3526060000
130060;3524000000
530130;3528050000
288000;3202010000
287000;3202020000
530190;3528110000
282300;3201070000
282500;3201070000
282400;3201070000
282000;3201100000
286030;3201110000
286050;3201110000
285000;3201130000
286040;3201150000
283200;3201150000
286000;3201150000
530900;3528500000
533030;3528500000
533040;3528500000
530150;3528500000
530200;3528500000
530210;3528500000
530220;3528500000
541000;3528500000
137300;3528500000
520070;3528500000
531020;3528500000
531030;3528500000
531040;3528500000
531050;3528500000
530050;3528500000
530170;3528500000
533030;3528500000
533040;3528500000
503010;3519030000
