Вид затрат;Описание вида затрат;Тип ВЗ
701010000;Оборудование к установке;90
1001020000;Уголь;90
1001030000;Мазут;90
1001040000;Дизельное топливо;90
1001050000;Прочие виды топлива;90
1006010000;Ионообменный и фильтрующий материал;90
1006020000;Химические реагенты и реактивы;90
1007010000;Запчас и матер электротехнич оборуд;90
1007020000;Запчас и матер производ-технолог оборуд;90
1007030000;Запчас к оборудов связи и выч. тех АСУТП;90
1007040000;Запчас к теплотехническому оборуд;90
1008010000;Металлоизделия и металлопрокат;90
1008020000;Трубопровод арматура и детали трубопрово;90
1008030000;Трубы;90
1009010000;Шары, дробь, била и билодержатели;90
1010010000;Газы технические;90
1011010000;Энергетические масла;90
1011020000;Прочие сырье и матер производственн хар;90
1012010100;Спецоснаст и техн. инструм на складе;90
1012010200;Спецоснаст и техн. инструм в эксплуатац;90
1013010100;Специальная одежда на складе;90
1013010200;Специальная одежда в эксплуатации;90
1014010100;Инвентарь и хоз. принадлежн на складе;90
1014010200;Инвентарь и хоз. принадлежн в эксплуатац;90
1015010000;Расход материал, кроме офисного оборудов;90
1015020000;Расход материал к офисному оборудов;90
1016010000;Горюче-смазочные материалы;90
1017010000;Строитель материал, в том числе для рем;90
1018010000;ТараИТарныеМатериалы;90
1019010000;Продукты питания;90
1020010000;Прочие материалы;90
3101010000;Газ;1
3101010100;Газ на ремонт;1
3101020000;Уголь;1
3101030000;Мазут;1
3101030100;Мазут на ремонт;1
3101040000;Дизельное топливо;1
3101040100;Дизельное топливо на ремонт;1
3101050000;Прочие виды топлива;1
3102010100;Покупная э/э на РСВ;1
3102010200;Покупная э/э на БР;1
3102010300;Покупная э/э по СД;1
3102020000;Покупная э/э с розничного рынка на ПХН;1
3103010000;Покупная мощность в результате КОМ;1
3103020000;Покупная мощность в результате СД;1
3103030000;Покупная мощность в результате ДПМ;1
3103040000;Покупная мощность в результате ДВР;1
3104010000;Покупная т/э на ПХН;1
3104020000;Покупная т/э на компенсацию потерь;1
3104030000;Прочие виды энергии;1
3104040000;Покупная т/э для перепродажи;1
3105010000;Технологическая вода;1
3106010000;Ионообменный и фильтрующий материал;1
3106010100;Ионообмен и фильтр материал на ремонт;1
3106020000;Химические реагенты и реактивы;1
3106020100;Хим реагенты и реактивы на ремонт;1
3107010000;Запчасти и матер электротех оборудования;1
3107010100;Запчасти и матер эл-тех оборуд на ремонт;1
3107020000;Запчасти и матер пр-технол оборудования;1
3107020100;Запчасти и матер пр-тех оборуд на ремонт;1
3107030000;Запчасти к оборудованию связи и ВТ;1
3107030100;Запчасти к оборуд связи и ВТ на ремонт;1
3107040000;Запчасти к теплотех оборудованию;1
3107040100;Запчасти к теплотех оборуд на ремонт;1
3108010000;Металлоизделия и металлопрокат;1
3108010100;Металлоизделия и металлопрокат на ремонт;1
3108020000;Трубопровод арматура и дет трубопроводов;1
3108020100;Трубопр арматура и дет трубопр на ремонт;1
3108030000;Трубы;1
3108030100;Трубы на ремонт;1
3109010000;Шары, дробь, била и биладержатели;1
3109010100;Шары, дробь, била и биладержат на ремонт;1
3110010000;Газы технические;1
3110010100;Газы технические на ремонт;1
3111010000;Энергетические масла;1
3111010100;Энергетические масла на ремонт;1
3111020000;Прочие сырье и матер произв характера;1
3111020100;Проч сырье и материалы произв на ремонт;1
3112010000;Спецоснастка и технолог инструмент;1
3112010100;Спецоснастка и технолог инстр на ремонт;1
3113010000;Специальная одежда;1
3113010100;Специальная одежда на ремонт;1
3114010000;Инвентарь и хозяйственные принадлежности;1
3114010100;Инвентарь и хозпринадлежности на ремонт;1
3115010000;Расход мат, кр расход мат к офис оборуд;1
3115010100;Расходные материалы на ремонт;1
3115020000;Расходные материалы к офис оборуд;1
3115020100;Расход материалы к офис оборуд на ремонт;1
3116010000;Горюче-смазочные материалы;1
3116010100;Горюче-смазочные материалы на ремонт;1
3117010000;Строительные материалы;1
3117010100;Строительные материалы на ремонт;1
3118010000;Тара и тарные материалы;1
3118010100;Тара и тарные материалы на ремонт;1
3119010000;Продукты питания;1
