МВЗ;Название SAP (40 символов);Название вне SAP (полное);МВП
D100611600;УпрТГК-1-Сбыт Э/Э;"Отдел сбыта (электроэнергия) Управления ОАО ""ТГК-1""";D100
D100611700;УпрТГК-1-Сбыт Т/Э;"Отдел сбыта (тепловая энергия) Управления ОАО ""ТГК-1""";D100
D100650000;УпрТГК-1-Управление;"Управление ОАО""ТГК-1"" (общие)";D100
D100650200;УпрТГК-1-БлАппаратГД;Блок аппарата генерального директора;D100
D100650300;УпрТГК-1-БлПравВопр;Блок по правовым вопросам;D100
D100650400;УпрТГК-1-БлСвязОбщес;Блок по связям с общественностью;D100
D100650500;УпрТГК-1-Адмн-сервБл;Административно-сервисный блок;D100
D100650600;УпрТГК-1-Бл ГО и ЧС;Блок по ГО и ЧС;D100
D100650700;УпрТГК-1-БлРемонтам;Блок по ремонтам;D100
D100650800;УпрТГК-1-БлЭксплуат;Блок по эксплуатации;D100
D100650900;УпрТГК-1-ПроизводБл;Производственный блок;D100
D100651000;УпрТГК-1-БлМетролог;Блок метрологии;D100
D100651100;УпрТГК-1-БлКорпорЗащ;Блок по корпоративной защите;D100
D100651200;УпрТГК-1-БлОплатТруд;Блок по оплате труда;D100
D100651300;УпрТГК-1-БлПодготКад;Блок по подготовке кадров;D100
D100651400;УпрТГК-1-БлСоцТруОтн;Блок социально-трудовых отношений;D100
D100651500;УпрТГК-1-БлРесурсооб;Блок по ресурсообеспечению;D100
D100651600;УпрТГК-1-БлСкладЛог;Блок складской логистики;D100
D100651700;УпрТГК-1-БлТранспорт;Блок по транспорту;D100
D100651800;УпрТГК-1-БлЭкономике;Блок по экономике;D100
D100651900;УпрТГК-1-БлУпрИмущ;Блок управления имуществом;D100
D100652000;УпрТГК-1-БлФинансов;Финансовый блок;D100
D100652100;УпрТГК-1-Бухгалтерия;Бухгалтерия;D100
D100652200;УпрТГК-1-БлРазвитию;Блок по развитию;D100
D100870000;УпрТГК-1-Дирекция КС;Дирекция КС ;D100
D100871200;УпрТГК-1-ДепИнвестиц;Департамент по инвестициям;D100
D200650000;УФНевскх-УпрФилиалом;Управление   Невским филиалом ;D200
D200652300;УФНевскх-ДирПрСис;"Дирекция производственных систем филиала ""Невский""";D200
D200652400;УФНевскх-УчЦентр;"Учебный центр ТГК филиала ""Невский""";D200
D200652500;УФНевскх-ДирСбытТепл;"Дирекция по сбыту тепловой энергии филиала ""Невский""";D200
D200870000;УФНевскх-Дирекция КС;Директора дирекции КАП. Строительства Аппарата УНФ;D200
D202020001;ТЭЦЦентр-ОГ-01 СМ Т1;ОГ №1   (ЭС 3)  Турбина №1 Центральная ТЭЦ;D202
D202020201;ТЭЦЦентр-ОГ-03 СМ Т2;ОГ №3  (ЭС 2)  Турбина №2 Центральная ТЭЦ;D202
D202020301;ТЭЦЦентр-ОГ-04 СМ Т5;ОГ №4  (ЭС 2)  Турбина №5 Центральная ТЭЦ;D202
D202020401;ТЭЦЦентр-ОГ5 СМ ПВК2;ОГ № 5 Котельная (CМ) (ЭС 1) Центральная ТЭЦ;D202
D202020501;ТЭЦЦентр-ОГ6 СМ ПВК1;ОГ № 6 ПВК (ЭС 1) Центральная ТЭЦ;D202
D202020502;ТЭЦЦентр-ОГ-06 НМ, ЭС1, ГТУ-1;ОГ № 6 ГТУ-1 (НМ) (ЭС 1) Центральная ТЭЦ;D202
D202020601;ТЭЦЦентр-ОГ-7 СМ ПК;ОГ №  7 Паровые котлы (ЭС 1) Центральная ТЭЦ;D202
D202020602;ТЭЦЦентр-ОГ-07 НМ, ЭС1, ГТУ-2;ОГ № 7 ГТУ-2 (НМ) (ЭС 1) Центральная ТЭЦ;D202
D202200100;ТЭЦЦентр-КТЦ1 СМ/НМ ЭС;КТЦ-1 СМ и НМ (ЭС 1)  Центральная ТЭЦ;D202
D202200101;ТЭЦЦентр-КТЦ1 СМ ЭС;КТЦ- 1 СМ  (ЭС 1)  Центральная ТЭЦ;D202
D202200110;ТЭЦЦентр-КТЦ1 СМ/НМ Хоз;Затраты на ремонт хозяйственным способом КТЦ- 1 СМ/НМ (ЭС 1)  Центральная ТЭЦ;D202
D202200111;ТЭЦЦентр-КТЦ1 СМ Хоз;Затраты на ремонт хозяйственным способом КТЦ- 1 СМ  (ЭС 1)  Центральная ТЭЦ;D202
D202200201;ТЭЦЦентр-КТЦ2 СМ ЭС;КТЦ-2  СМ  (ЭС 2)  Центральная ТЭЦ;D202
D202200211;ТЭЦЦентр-КТЦ2 СМ Хоз;Затраты на ремонт хозяйственным способом КТЦ- 2  СМ  (ЭС 2)  Центральная ТЭЦ;D202
D202200301;ТЭЦЦентр-КТЦ3 СМ ЭС;КТЦ-3  СМ (ЭС 3) Центральная ТЭЦ;D202
D202200311;ТЭЦЦентр-КТЦ3 СМ Хоз;Затраты на ремонт хозяйственным способом КТЦ- 3 СМ (ЭС 3) Центральная ТЭЦ;D202
D202210000;ТЭЦЦентр-ЭЦ1 СМ/НМ;Электроцех -1 (ЭС 1,3)  СМ/НМ Центральная ТЭЦ;D202
D202210001;ТЭЦЦентр-ЭЦ1 СМ;Электроцех -1 (ЭС 1,3)  СМ  Центральная ТЭЦ;D202
D202210010;ТЭЦЦентр-ЭЦ1 СМ/НМ Хоз;Затраты на ремонт хозяйственным способом Электроцех -1 (ЭС 1,3)  СМ/НМ Центральная ТЭЦ ;D202
D202210011;ТЭЦЦентр-ЭЦ1 СМ Хоз;Затраты на ремонт хозяйственным способом Электроцех -1 (ЭС 1,3)  СМ  Центральная ТЭЦ ;D202
D202210101;ТЭЦЦентр-ЭЦ2 СМ;Электроцех -2  (ЭС 2) СМ Центральная ТЭЦ;D202
D202210111;ТЭЦЦентр-ЭЦ2 СМ Хоз;Затраты на ремонт хозяйственным способом Электроцех -2  (ЭС 2) СМ Центральная ТЭЦ;D202
D202210300;ТЭЦЦентр-ХПВ СМ/НМ;Хим. Подготовленная вода Центральная ТЭЦ;D202
D202210301;ТЭЦЦентр-ХПВ СМ;Хим. Подготовленная вода Центральная ТЭЦ;D202
D202210310;ТЭЦЦентр-ХПВ СМ/НМ Хоз;Затраты на ремонт хозяйственным способом Хим. Подготовленная вода Центральная ТЭЦ;D202
D202210311;ТЭЦЦентр-ХПВ СМ Хоз;Затраты на ремонт хозяйственным способом Хим. Подготовленная вода Центральная ТЭЦ;D202
D202210400;ТЭЦЦентр-ВСН СМ/НМ;Вода на СН Центральная ТЭЦ;D202
D202210401;ТЭЦЦентр-ВСН СМ;Вода на СН Центральная ТЭЦ;D202
D202210500;ТЭЦЦентр-ТепВпар СМ/НМ;Теплоноситель в паре Центральная ТЭЦ ;D202
D202210501;ТЭЦЦентр-ТепВпар СМ;Теплоноситель в паре Центральная ТЭЦ ;D202
D202210501;ТЭЦЦентр-ТепВпар СМ;Теплоноситель в паре Центральная ТЭЦ ;D202
D202210600;ТЭЦЦентр-ТепВвод СМ/НМ;Теплоноситель в воде Центральная ТЭЦ;D202
D202210601;ТЭЦЦентр-ТепВвод СМ;Теплоноситель в воде Центральная ТЭЦ;D202
D202211200;ТЭЦЦентр-ЦТАИ СМ/НМ;Цех тепловой автоматики и измерений (ТАИ) СМ Центральная ТЭЦ;D202
D202211201;ТЭЦЦентр-ЦТАИ СМ;Цех тепловой автоматики и измерений (ТАИ) СМ Центральная ТЭЦ;D202
D202211210;ТЭЦЦентр-ЦТАИ СМ/НМ Хоз;Затраты на ремонт хозяйственным способом Цех тепловой автоматики и измерений (ТАИ) СМ Центральная ТЭЦ;D202
D202211211;ТЭЦЦентр-ЦТАИ СМ Хоз;Затраты на ремонт хозяйственным способом Цех тепловой автоматики и измерений (ТАИ) СМ Центральная ТЭЦ;D202
D202211800;ТЭЦЦентр-Резерв ТМ;Резервирование тепловой мощности Центральная ТЭЦ;D202
D202211900;ТЭЦЦентр-ТТЦ СМ/НМ;Топливно-транспортный цех (ТТЦ) СМ и НМ Центральная ТЭЦ;D202
D202211901;ТЭЦЦентр-ТТЦ СМ;Топливно-транспортный цех (ТТЦ) СМ Центральная ТЭЦ;D202
D202211910;ТЭЦЦентр-ТТЦ СМ/НМ Хоз;Затраты на ремонт хозяйственным способом Топливно-транспортный цех (ТТЦ) СМ и НМ Центральная ТЭЦ ;D202
