Финансовая позиция;Название;Описание;Описание 2
1.00;Итого приток;ИТОГО ПРИТОК (доходы и поступления ДС);
1.01.00;Всего Приток от ОД;ВСЕГО ПРИТОК ОТ ОПЕРАЦИОННОЙ ДЕЯТЕЛЬНОСТИ;
1.01.01.00;Электроэнерг (мощн);Электроэнергия (мощность);
1.01.01.01.00;Электроэнергия (мощ);Электроэнергия (мощность), поставляемая на оптовый;рынок
1.01.01.01.01.00;Электроэнергия;Электроэнергия;
1.01.01.01.01.01;э/э по РД (вкл долг);Электроэнергия по регулируемым договорам (включая;долгосрочные)
1.01.01.01.01.02;э/э по РСВ;Электроэнергия в результате конкурентного отбора н;а РСВ
1.01.01.01.01.03;э/э по БР;Электроэнергия в результате конкурентного отбора н;а БР
1.01.01.01.01.04;э/э по СД;Электроэнергия по свободным двусторонним договорам;СД
1.01.01.01.02.00;Мощность;Мощность;
1.01.01.01.02.01;Мощность по РД;Мощность по регулируемым договорам;
1.01.01.01.02.02;Мощность по КОМ;Мощность в результате конкурентного отбора мощност;и
1.01.01.01.02.03;Мощность по СД;Мощность по свободным договорам;
1.01.01.01.02.04;Мощность по ДПМ;Мощность по договорам о предоставлении мощности;
1.01.01.01.02.05;Мощность по ВР;Мощность в вынужденном режиме;
1.01.01.02.00;Электроэнергия на РР;Электроэнергия, поставляемая на розничный рынок;
1.01.01.02.01.00;э/э по нерег ценам;Продажа электрической энергии по нерегулируемым це;нам
1.01.01.02.01.01;э/э энергосбыт комп;Энергосбытовым компаниям;
1.01.01.02.01.02;э/э базовым потребит;Электроэнергия базовым потребителям;
1.01.01.02.01.03;э/э прочим потребит;Электроэнергия прочим потребителям;
1.01.02.00;Тепловая энергия;Реализация тепловой энергии;
1.01.02.01;т/э промышлен потреб;Реализация тепловой энергии промышленным потребите;лям
1.01.02.02;т/э жилищным организ;Реализация тепловой энергии жилищным организациям;
1.01.02.03.00;т/э прочим потребит;Реализация тепловой энергии прочим потребителям;
1.01.02.03.01;т/э бюджетозавис пот;Реализация тепловой энергии бюджетозависимым потре;бителям
1.01.02.03.02;т/э бюджетонезав пот;Реализация тепловой энергии бюджетонезависимым пот;ребителям
