Материал;Краткий текст материала;ЕИ;ГруппаМтр;КлОцн;Вид оценки;ВидМ;;Названия строк;Количество по полю КлОцн
10000025;Уголь;Т;103020000;1012;10;ROH;;ROH;39171
10000026;Мазут;Т;103030000;1013;10;ROH;;(пусто);
10000027;Дизельное топливо;Т;103040000;1014;10;ROH;;Общий итог;39171
10000028;Торф;Т;103050000;1015;10;ROH;;;
10020823;Психрометр ВИТ-1;ШТ;114050000;700;7;ROH;;;
10020823;Психрометр ВИТ-1;ШТ;114050000;1210;10;ROH;;;
10201984;Круг В1-II-НД-10 12Х1МФ Г2590 Г20072;Т;105010000;700;7;ROH;;;
10201984;Круг В1-II-НД-10 12Х1МФ Г2590 Г20072;Т;105010000;1070;10;ROH;;;
10202873;Лист Б-ПН-О-6х1500х6000 12Х18Н10Т-2Мб;Т;105010000;700;7;ROH;;;
10202873;Лист Б-ПН-О-6х1500х6000 12Х18Н10Т-2Мб;Т;105010000;1070;10;ROH;;;
10203485;Шнур Гидроизол-М ТУ 5775-001-85453252;КГ;113030000;700;7;ROH;;;
10203485;Шнур Гидроизол-М ТУ 5775-001-85453252;КГ;113030000;1220;10;ROH;;;
10203785;Г20700-75 Болты,шпил.,гайки и шайбы;ШТ;118080000;1161;10;ROH;;;
10204002;Лист Б-8-ПН-О 1250х2500 20Х23Н18Т Г19903;Т;105010000;700;7;ROH;;;
10204002;Лист Б-8-ПН-О 1250х2500 20Х23Н18Т Г19903;Т;105010000;1070;10;ROH;;;
10204152;Электрод УОНИИ-13/55-3-УД Э50А Е51 3-Б20;КГ;107050200;1220;10;ROH;;;
10204159;Электрод УОНИИ-13/45-4-УД Э42А Е 41 2(3);КГ;107050200;1220;10;ROH;;;
10204160;Электрод ЦЛ-39 д 2,5мм;КГ;107050200;1220;10;ROH;;;
10204161;Электрод ЦУ-5 2,5 УД Э50А;КГ;107050200;1220;10;ROH;;;
10204576;Подшипник Siemens 18.1.3.S.0.1.19.7;ШТ;107090200;700;7;ROH;;;
10204576;Подшипник Siemens 18.1.3.S.0.1.19.7;ШТ;107090200;1064;10;ROH;;;
10204577;Подшипник Siemens 18.1.3.S.0.1.19.8;ШТ;107090200;700;7;ROH;;;
