ПФМ;Название;4;5
D;ТГК-1;;
D100;Управление ПАО ТГК-1;;
D10001;Апп. ГД(УпрТГК-1);;
D10002;ПравВопр(УпрТГК-1);;
D10003;СвязОбщ.(УпрТГК-1);;
D10004;АдмСерв(УпрТГК-1);;
D10005;ГО и ЧС(УпрТГК-1);;
D10006;Ремонт.(УпрТГК-1);;
D10007;Эксплуат.(УпрТГК-1);;
D10008;Произв.(УпрТГК-1);;
D10009;Метролог(УпрТГК-1);;
D10010;СбытТЭ(УпрТГК-1);;
D10011;СбытЭЭ(УпрТГК-1);;
D10012;КорпЗащит(УпрТГК-1);;
D10013;ОплТруда(УпрТГК-1);;
D10014;ПодгКадр(УпрТГК-1);;
D10015;Соц-труд(УпрТГК-1);;
D10016;Ресурсооб(УпрТГК-1);;
D10017;СкладЛог(УпрТГК-1);;
D10018;Транспорт(УпрТГК-1);;
D10019;Эконом. (УпрТГК-1);;
D10020;УпрИмущ(УпрТГК-1);;
D10021;Финансы(УпрТГК-1);;
D10022;Бухгалт.(УпрТГК-1);;
D10023;Развитие(УпрТГК-1);;
D10024;КапСтрой(УпрТГК-1);;
D10025;Тех(УпрТГК-1);;
D200;"Апп.управ.""Невский""";;
D20001;Апп. ГД(Невский);;
D20002;ПравВопр(Невский);;
D20003;СвязОбщ.(Невский);;
D20004;АдмСерв(Невский);;
D20005;ГО и ЧС(Невский);;
D20006;Ремонт.(Невский);;
D20007;Эксплуат.(Невский);;
D20008;Произв.(Невский);;
D20009;Метролог(Невский);;
D20010;СбытТЭ(Невский);;
D20011;СбытЭЭ(Невский);;
D20012;КорпЗащит(Невский);;
D20013;ОплТруда(Невский);;
D20014;ПодгКадр(Невский);;
D20015;Соц-труд(Невский);;
D20016;Ресурсооб(Невский);;
D20017;СкладЛог(Невский);;
D20018;Транспорт(Невский);;
D20019;Эконом. (Невский);;
D20020;УпрИмущ(Невский);;
D20021;Финансы(Невский);;
D20022;Бухгалт.(Невский);;
D20023;Развитие(Невский);;
D20024;КапСтрой(Невский);;
D20025;Тех(Невский);;
D202;ЦТЭЦ 2 Центральная;;
D20201;Апп. ГД(ЦТЭЦ 2);;
D20202;ПравВопр(ЦТЭЦ 2);;
D20203;СвязОбщ.(ЦТЭЦ 2);;
D20204;АдмСерв(ЦТЭЦ 2);;
D20205;ГО и ЧС(ЦТЭЦ 2);;
D20206;Ремонт.(ЦТЭЦ 2);;
D20207;Эксплуат.(ЦТЭЦ 2);;
D20208;Произв.(ЦТЭЦ 2);;
D20209;Метролог(ЦТЭЦ 2);;
D20210;СбытТЭ(ЦТЭЦ 2);;
D20211;СбытЭЭ(ЦТЭЦ 2);;
D20212;КорпЗащит(ЦТЭЦ 2);;
D20213;ОплТруда(ЦТЭЦ 2);;
D20214;ПодгКадр(ЦТЭЦ 2);;
D20215;Соц-труд(ЦТЭЦ 2);;
D20216;Ресурсооб(ЦТЭЦ 2);;
D20217;СкладЛог(ЦТЭЦ 2);;
D20218;Транспорт(ЦТЭЦ 2);;
D20219;Эконом. (ЦТЭЦ 2);;
D20220;УпрИмущ(ЦТЭЦ 2);;
D20221;Финансы(ЦТЭЦ 2);;
D20222;Бухгалт.(ЦТЭЦ 2);;
D20223;Развитие(ЦТЭЦ 2);;
D20224;КапСтрой(ЦТЭЦ 2);;
D20225;Тех(ЦТЭЦ 2);;
D205;ТЭЦ 5 Правобережная;;
D20501;Апп. ГД(ТЭЦ 5);;
D20502;ПравВопр(ТЭЦ 5);;
D20503;СвязОбщ.(ТЭЦ 5);;
D20504;АдмСерв(ТЭЦ 5);;
D20505;ГО и ЧС(ТЭЦ 5);;
D20506;Ремонт.(ТЭЦ 5);;
D20507;Эксплуат.(ТЭЦ 5);;
D20508;Произв.(ТЭЦ 5);;
D20509;Метролог(ТЭЦ 5);;
D20510;СбытТЭ(ТЭЦ 5);;
D20511;СбытЭЭ(ТЭЦ 5);;
D20512;КорпЗащит(ТЭЦ 5);;
D20513;ОплТруда(ТЭЦ 5);;
D20514;ПодгКадр(ТЭЦ 5);;
D20515;Соц-труд(ТЭЦ 5);;
D20516;Ресурсооб(ТЭЦ 5);;
D20517;СкладЛог(ТЭЦ 5);;
D20518;Транспорт(ТЭЦ 5);;
D20519;Эконом. (ТЭЦ 5);;
D20520;УпрИмущ(ТЭЦ 5);;
D20521;Финансы(ТЭЦ 5);;
D20522;Бухгалт.(ТЭЦ 5);;
D20523;Развитие(ТЭЦ 5);;
D20524;КапСтрой(ТЭЦ 5);;
D20525;Тех(ТЭЦ 5);;
D207;ТЭЦ 7 Василеостровск;;
