ПФМ;Название;Описание
D100;Управление ПАО ТГК-1;Управление ПАО ТГК-1
D10001;Апп. ГД(УпрТГК-1);Апп. ГД(УпрТГК-1)
D10002;ПравВопр(УпрТГК-1);ПравВопр(УпрТГК-1)
D10003;СвязОбщ.(УпрТГК-1);СвязОбщ.(УпрТГК-1)
D10004;АдмСерв(УпрТГК-1);АдмСерв(УпрТГК-1)
D10005;ГО и ЧС(УпрТГК-1);ГО и ЧС(УпрТГК-1)
D10006;Ремонт.(УпрТГК-1);Ремонт.(УпрТГК-1)
D10007;Эксплуат.(УпрТГК-1);Эксплуат.(УпрТГК-1)
D10008;Произв.(УпрТГК-1);Произв.(УпрТГК-1)
D10009;Метролог(УпрТГК-1);Метролог(УпрТГК-1)
D10010;СбытТЭ(УпрТГК-1);СбытТЭ(УпрТГК-1)
D10011;СбытЭЭ(УпрТГК-1);СбытЭЭ(УпрТГК-1)
D10012;КорпЗащит(УпрТГК-1);КорпЗащит(УпрТГК-1)
D10013;ОплТруда(УпрТГК-1);ОплТруда(УпрТГК-1)
D10014;ПодгКадр(УпрТГК-1);ПодгКадр(УпрТГК-1)
D10015;Соц-труд(УпрТГК-1);Соц-труд(УпрТГК-1)
D10016;Ресурсооб(УпрТГК-1);Ресурсооб(УпрТГК-1)
D10017;СкладЛог(УпрТГК-1);СкладЛог(УпрТГК-1)
D10018;Транспорт(УпрТГК-1);Транспорт(УпрТГК-1)
D10019;Эконом. (УпрТГК-1);Эконом. (УпрТГК-1)
D10020;УпрИмущ(УпрТГК-1);УпрИмущ(УпрТГК-1)
D10021;Финансы(УпрТГК-1);Финансы(УпрТГК-1)
D10022;Бухгалт.(УпрТГК-1);Бухгалт.(УпрТГК-1)
D10023;Развитие(УпрТГК-1);Развитие(УпрТГК-1)
D10024;КапСтрой(УпрТГК-1);КапСтрой(УпрТГК-1)
D10025;Тех(УпрТГК-1);"Технический (Управление ПАО ""ТГК-1"")"
D200;"Апп.управ.""Невский""";"Апп.управ.""Невский"""
D20001;Апп. ГД(Невский);Апп. ГД(Невский)
D20002;ПравВопр(Невский);ПравВопр(Невский)
D20003;СвязОбщ.(Невский);СвязОбщ.(Невский)
D20004;АдмСерв(Невский);АдмСерв(Невский)
D20005;ГО и ЧС(Невский);ГО и ЧС(Невский)
D20006;Ремонт.(Невский);Ремонт.(Невский)
D20007;Эксплуат.(Невский);Эксплуат.(Невский)
D20008;Произв.(Невский);Произв.(Невский)
D20009;Метролог(Невский);Метролог(Невский)
D20010;СбытТЭ(Невский);СбытТЭ(Невский)
D20011;СбытЭЭ(Невский);СбытЭЭ(Невский)
D20012;КорпЗащит(Невский);КорпЗащит(Невский)
D20013;ОплТруда(Невский);ОплТруда(Невский)
D20014;ПодгКадр(Невский);ПодгКадр(Невский)
D20015;Соц-труд(Невский);Соц-труд(Невский)
D20016;Ресурсооб(Невский);Ресурсооб(Невский)
D20017;СкладЛог(Невский);СкладЛог(Невский)
D20018;Транспорт(Невский);Транспорт(Невский)
D20019;Эконом. (Невский);Эконом. (Невский)
D20020;УпрИмущ(Невский);УпрИмущ(Невский)
D20021;Финансы(Невский);Финансы(Невский)
D20022;Бухгалт.(Невский);Бухгалт.(Невский)
D20023;Развитие(Невский);Развитие(Невский)
D20024;КапСтрой(Невский);КапСтрой(Невский)
D20025;Тех(Невский);"Технический  (Аппарат управл. фил. ""Невс"
D202;ЦТЭЦ 2 Центральная;ЦТЭЦ 2 Центральная
D20201;Апп. ГД(ЦТЭЦ 2);Апп. ГД(ЦТЭЦ 2)
D20202;ПравВопр(ЦТЭЦ 2);ПравВопр(ЦТЭЦ 2)
D20203;СвязОбщ.(ЦТЭЦ 2);СвязОбщ.(ЦТЭЦ 2)
D20204;АдмСерв(ЦТЭЦ 2);АдмСерв(ЦТЭЦ 2)
D20205;ГО и ЧС(ЦТЭЦ 2);ГО и ЧС(ЦТЭЦ 2)
D20206;Ремонт.(ЦТЭЦ 2);Ремонт.(ЦТЭЦ 2)
D20207;Эксплуат.(ЦТЭЦ 2);Эксплуат.(ЦТЭЦ 2)
D20208;Произв.(ЦТЭЦ 2);Произв.(ЦТЭЦ 2)
D20209;Метролог(ЦТЭЦ 2);Метролог(ЦТЭЦ 2)
D20210;СбытТЭ(ЦТЭЦ 2);СбытТЭ(ЦТЭЦ 2)
D20211;СбытЭЭ(ЦТЭЦ 2);СбытЭЭ(ЦТЭЦ 2)
D20212;КорпЗащит(ЦТЭЦ 2);КорпЗащит(ЦТЭЦ 2)
D20213;ОплТруда(ЦТЭЦ 2);ОплТруда(ЦТЭЦ 2)
D20214;ПодгКадр(ЦТЭЦ 2);ПодгКадр(ЦТЭЦ 2)
D20215;Соц-труд(ЦТЭЦ 2);Соц-труд(ЦТЭЦ 2)
D20216;Ресурсооб(ЦТЭЦ 2);Ресурсооб(ЦТЭЦ 2)
D20217;СкладЛог(ЦТЭЦ 2);СкладЛог(ЦТЭЦ 2)
D20218;Транспорт(ЦТЭЦ 2);Транспорт(ЦТЭЦ 2)
D20219;Эконом. (ЦТЭЦ 2);Эконом. (ЦТЭЦ 2)
D20220;УпрИмущ(ЦТЭЦ 2);УпрИмущ(ЦТЭЦ 2)
D20221;Финансы(ЦТЭЦ 2);Финансы(ЦТЭЦ 2)
D20222;Бухгалт.(ЦТЭЦ 2);Бухгалт.(ЦТЭЦ 2)
D20223;Развитие(ЦТЭЦ 2);Развитие(ЦТЭЦ 2)
D20224;КапСтрой(ЦТЭЦ 2);КапСтрой(ЦТЭЦ 2)
D20225;Тех(ЦТЭЦ 2);Технический (ЦТЭЦ 2 Центральная)
D205;ТЭЦ 5 Правобережная;ТЭЦ 5 Правобережная
D20501;Апп. ГД(ТЭЦ 5);Апп. ГД(ТЭЦ 5)
D20502;ПравВопр(ТЭЦ 5);ПравВопр(ТЭЦ 5)
D20503;СвязОбщ.(ТЭЦ 5);СвязОбщ.(ТЭЦ 5)
D20504;АдмСерв(ТЭЦ 5);АдмСерв(ТЭЦ 5)
D20505;ГО и ЧС(ТЭЦ 5);ГО и ЧС(ТЭЦ 5)
D20506;Ремонт.(ТЭЦ 5);Ремонт.(ТЭЦ 5)
D20507;Эксплуат.(ТЭЦ 5);Эксплуат.(ТЭЦ 5)
D20508;Произв.(ТЭЦ 5);Произв.(ТЭЦ 5)
D20509;Метролог(ТЭЦ 5);Метролог(ТЭЦ 5)
D20510;СбытТЭ(ТЭЦ 5);СбытТЭ(ТЭЦ 5)
