ÌÑ;ÊëÎöí;ÎñíîâÑ÷åò;ÎñíîâÑ÷åò
AUF;1220;3920000000;3920000000
BSA;0700;INIT000000;INIT000000
BSA;1012;INIT000000;INIT000000
BSA;1013;INIT000000;INIT000000
BSA;1014;INIT000000;INIT000000
BSA;1015;INIT000000;INIT000000
BSA;1040;INIT000000;INIT000000
BSA;1050;INIT000000;INIT000000
BSA;1061;INIT000000;INIT000000
BSA;1062;INIT000000;INIT000000
BSA;1063;INIT000000;INIT000000
BSA;1064;INIT000000;INIT000000
BSA;1070;INIT000000;INIT000000
BSA;1080;INIT000000;INIT000000
BSA;1090;INIT000000;INIT000000
BSA;1100;INIT000000;INIT000000
BSA;1110;INIT000000;INIT000000
BSA;1120;INIT000000;INIT000000
BSA;1130;INIT000000;INIT000000
BSA;1140;INIT000000;INIT000000
BSA;1150;INIT000000;INIT000000
BSA;1161;INIT000000;INIT000000
BSA;1163;INIT000000;INIT000000
BSA;1170;INIT000000;INIT000000
BSA;1180;INIT000000;INIT000000
BSA;1190;INIT000000;INIT000000
BSA;1200;INIT000000;INIT000000
BSA;1210;INIT000000;INIT000000
BSA;1220;INIT000000;INIT000000
BSA;4104;INIT000000;INIT000000
BSA;5000;Z999000000;Z999000000
BSA;5003;Z999000000;Z999000000
INV;0700;9401000000;9110240100
INV;1012;9401000000;9110240100
INV;1013;9401000000;9110240100
INV;1014;9401000000;9110240100
INV;1015;9401000000;9110240100
INV;1040;9401000000;9110240100
INV;1050;9401000000;9110240100
INV;1061;9401000000;9110240100
INV;1062;9401000000;9110240100
INV;1063;9401000000;9110240100
INV;1064;9401000000;9110240100
INV;1070;9401000000;9110240100
INV;1080;9401000000;9110240100
INV;1090;9401000000;9110240100
INV;1100;9401000000;9110240100
INV;1110;9401000000;9110240100
INV;1120;9401000000;9110240100
INV;1130;9401000000;9110240100
INV;1140;9401000000;9110240100
INV;1150;9401000000;9110240100
INV;1161;9401000000;9110240100
INV;1163;9401000000;9110240100
INV;1170;9401000000;9110240100
INV;1180;9401000000;9110240100
INV;1190;9401000000;9110240100
INV;1200;9401000000;9110240100
INV;1210;9401000000;9110240100
INV;1220;9401000000;9110240100
REM;1011;3101010100;3101010100
REM;1040;3106010100;3106010100
REM;1050;3106020100;3106020100
REM;1061;3107010100;3107010100
REM;1062;3107020100;3107020100
REM;1063;3107030100;3107030100
REM;1064;3107040100;3107040100
REM;1070;3108010100;3108010100
REM;1080;3108020100;3108020100
REM;1090;3108030100;3108030100
REM;1100;3109010100;3109010100
REM;1110;3110010100;3110010100
REM;1120;3111010100;3111010100
REM;1130;3112010100;3112010100
REM;1150;3114010100;3114010100
REM;1161;3115010100;3115010100
REM;1163;3115020100;3115020100
REM;1170;3116010100;3116010100
