Код транзакции;Текст;Направление
/BITE/ACCSTMT;Банковские выписки;БНУ
/ISDFPS/TOE2;Организационная структура и задачи;БНУ
ABUMN;Перемещение внутри БЕ;БНУ
AC02;Основные записи работ/услуг;УСМТР
AC03;Основные записи работ/услуг;УСМТР
AC06;Просм. списка: осн. запись раб./усл.;УСМТР
ACACACT;Рассчитать и провести разграничения;БНУ
ACACTREE01;Создать объекты разграничения;БНУ
ACACTREE02;Обработать объекты разграничения;БНУ
AFBP;Генерация журнала ПроводокАмортизац;БНУ
AS02;Изменение ОснЗаписи ОснСредства;БНУ
AS03;Просмотр основной записи ОснСредства;БНУ
AS05;Блокирование ОснЗаписи ОснСредства;БНУ
AS06;Удаление/МеткаУдален ОснЗаписи ОснСр;БНУ
AW01N;Проводник Учета основных средств;БНУ
BUP3;Просмотр делового партнера;НСИ
CASE;CA-управление: группир. типов ролей;ВД
CJ02;Изменение структурного плана проекта;УИ
CJ03;Просмотреть структурный план проекта;УИ
CJ13;Просмотр СПП-элемента;УИ
CJ20;Структурное планирование;УИ
CJ20N;Project Builder;УИ
CJ27;Календарный график проекта;УИ
CJ2B;КалендГрафик проекта: изменение;УИ
CJ2C;Календарный график проекта: просмотр;УИ
CJ31;Просмотр исходного бюджета проекта;УИ
CJ88;ФактРасчет: Проекты / СетевГрафики;УИ
CJI3;ФактЗатраты ОтдПозиций проектов;УИ
CJID;Просмотр расчета по ОтдПзц проектов;УИ
CKMB;Просмотр док-та регистра материалов;УУ
CKMS;Документы регистра к материалу;УУ
CL02;Управление классами;NONE
CL20N;Присвоения объекта;NONE
CL24N;Присвоения класса;NONE
CN05;Просмотр каталога PS-текстов;УИ
CN23;Просмотр СетевГрафик;УИ
CN41N;Обзор структуры проекта;УИ
CN43;Обзор: СПП-элементы;УИ
CN43N;Обзор: СПП-элементы;УИ
CN44N;Обзор: плановые заказы;УИ
CN47N;Обзор: операции/элементы;УИ
CN72;Создание версии проекта;УИ
CR01;Создать РабМесто;ТОиР
CR02;Изменить РабМесто;ТОиР
CR03;Просмотр РабМеста;ТОиР
CV01N;Создать документ;ТОиР
CV02N;Изменить документ;ТОиР
CV03N;Просмотр документа;ТОиР
CV04N;Поиск документа;ТОиР
ECH_MONI_SEL;Выбор обраб. ошибок и конфликтов;Базис
F.01;ABAP/4-отчет: баланс;БНУ
F.80;Массовое сторно документов;БНУ
F110;Параметры для автомат. платежа;БНУ
F-32;Выравнивание счета дебитора;БНУ
F-44;Выравнивание счета кредитора;БНУ
FAGLB03;Просмотр сальдо;БНУ
FAGLB03A;Просмотр сальдо;БНУ
FAGLGVTR;Главная книга: перенос сальдо;БНУ
FAGLL03;Отд. позиции основных счетов (нов.);БНУ
FB00;Опции обработки для бухгалтерии;БНУ
FB01;Проводка документа;БНУ
FB02;Изменить документ;БНУ
FB03;Просмотр документа;БНУ
FB05;Проводка с выравниванием;БНУ
FB08;СторнирДокумент;БНУ
FB11;Проводка ВремСохранДокумента;БНУ
FB41;Проводка НалогДолгФинОрг;БНУ
FB50;Проводка по ОСч: транзакция 1 экрана;БНУ
FB60;Ввод входящих счетов;БНУ
FBCJ;Кассовая книга;БНУ
FBL1N;Cписок отдельных позиций кредиторов;БНУ
FBL3N;Cписок отдельных позиций осн. счетов;БНУ
FBL5N;Cписок отдельных позиций дебиторов;БНУ
FBRA;Отмена выравнивания;БНУ
FC11;Выборка для FI-переноса;БНУ
FD03;Просмотр дебитора (бухгалтерия);БНУ
FD10N;Просмотр сальдо дебиторов;БНУ
